title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,699 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.6 out of 5 stars,"138,647 ratings",Not Available
New Sony PlayStation 4 Pro 1TB Red Dead Redemption 2 Console Bundle with HDR Technology for 4K TV Gaming - Jet Black,,4.5 out of 5 stars,101 ratings,Not Available
"Playstation 4 Pro 2TB SSHD Console with Dualshock 4 Wireless Controller Bundle, 4K HDR, Playstation Pro Enhanced with Solid State Hybrid Drive (Renewed)",,4.5 out of 5 stars,26 ratings,Not Available
"Playstation 4 Pro 2TB SSD Console with Dualshock 4 Wireless Controller Bundle, 4K HDR, Playstation Pro Enhanced with Fast Solid State Drive",,4.5 out of 5 stars,133 ratings,Not Available
"AceGamer 2 Pack for PS4 Controller, Wireless Controller for PS4/Pro/Slim/PC, with Non-Slip Grip of Both Sides and 2 USB-C Cable! (Black and White)",,4.3 out of 5 stars,"5,344 ratings",Not Available
PlayStation 4 Slim 1TB Console with Aftermarket Black Wireless DS Controller with The Last of Us Remastered PS4 Game Disc - PS4 Gaming System (Renewed),,4.2 out of 5 stars,1 rating,Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black (Renewed),,4.6 out of 5 stars,"5,054 ratings",Not Available
"PS4 Controller Charger Dock Station with Charging Cable,1.8Hrs Fast Charge PS4 Remote Charging Station, Replacement for PlayStation 4 Controller Charger",,4.7 out of 5 stars,"3,957 ratings",Not Available
"OIVO PS4 Stand for PlayStation 4 Accessory Kits, Cooling Fan Station for PS4 Slim/Pro/PlayStation 4 Consoles, Pro Vertical Stand with Dual Controller EXT Port Charger Dock Station & 12 Game Slots",,4.5 out of 5 stars,"46,804 ratings",Only 1 left in stock - order soon.
Sony PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,"3,240 ratings",Not Available
PlayStation 4 Slim 1TB Console,,4.5 out of 5 stars,"15,853 ratings",Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,182 ratings,Not Available
PS4 Slim 500GB Console + Controller,,4.5 out of 5 stars,"1,943 ratings",Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,410 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.7 out of 5 stars,"7,767 ratings",Not Available
"Wireless Controller For PS4, Black ps4 controller with Dual Vibration/ 6-Axis Motion Sensor/Audio Jack/Touch Pad/Share Button, Recharge Controller For PC, P-4 Accessories Perfect Adaptive Full Version 4/4 Pro/Slim.",,4.3 out of 5 stars,798 ratings,In Stock
"Matbip 2 Pack wireless controller for P4, wireless P4 controller with dual vibration, Turbo, type-c port (Black and White) Radio",,4.3 out of 5 stars,"1,918 ratings",Not Available
"Sombbry Wireless Controller for PS4, White ps4 controller with Dual Vibration/ 6-Axis Motion Sensor/Audio Jack/Touch Pad/Share Button, p-4 Accessories Perfect Adaptive Full Version 4/4 Pro White",,4.6 out of 5 stars,492 ratings,In Stock
"PS5/Slim/Pro Stand and Cooling Station with LED Controller Charging Station for PlayStation 5 Console, Controller Charger, Cooling Stand, PS5/Slim/Pro Accessories Kit with 3 Level Cooler Fan",,4.5 out of 5 stars,"20,067 ratings",Not Available
"Wireless Gaming Headset for PC, Ps5, Ps4, 2.4 Ghz USB & Type-C Gaming Headphones with Microphone, 30H Battery Bluetooth Headphones for Switch, Laptop, Mobile, Mac",,4.4 out of 5 stars,"1,349 ratings",Not Available
